Code Snippet,Syntax Error,Optimization Suggestion,Time Complexity,Cyclomatic Complexity
"const isValid = (s) => { const stack = []; const map = { '(': ')', '{': '}', '[': ']' }; for (let char of s) { if (map[char]) stack.push(map[char]); else if (stack.pop() !== char) return false; } return stack.length === 0; }",No,No,O(n),3
"const climbStairs = (n) => { const dp = Array(n + 1).fill(0); dp[0] = 1; dp[1] = 1; for (let i = 2; i <= n; i++) dp[i] = dp[i - 1] + dp[i - 2]; return dp[n]; }",No,No,O(n),3
"const uniquePaths = (m, n) => { const dp = Array(m).fill().map(() => Array(n).fill(1)); for (let i = 1; i < m; i++) { for (let j = 1; j < n; j++) { dp[i][j] = dp[i - 1][j] + dp[i][j - 1]; } } return dp[m - 1][n - 1]; }",No,No,O(m*n),3
"const reverseString = (s) => { let left = 0, right = s.length - 1; while (left < right) { [s[left], s[right]] = [s[right], s[left]]; left++; right--; } return s; }",No,No,O(n),3
"const findMedianSortedArrays = (nums1, nums2) => { const merged = [...nums1, ...nums2].sort((a, b) => a - b); const mid = Math.floor(merged.length / 2); return merged.length % 2 === 0 ? (merged[mid - 1] + merged[mid]) / 2 : merged[mid]; }",No,No,O((m+n) log(m+n)),3
"const maxArea = (height) => { let left = 0, right = height.length - 1, maxArea = 0; while (left < right) { const area = Math.min(height[left], height[right]) * (right - left); maxArea = Math.max(maxArea, area); height[left] < height[right] ? left++ : right--; } return maxArea; }",No,No,O(n),3
"const longestCommonPrefix = (strs) => { if (!strs.length) return ''; let prefix = strs[0]; for (let i = 1; i < strs.length; i++) { while (strs[i].indexOf(prefix) !== 0) prefix = prefix.slice(0, -1); } return prefix; }",No,No,O(n*m),3
"const threeSum = (nums) => { const result = []; nums.sort((a, b) => a - b); for (let i = 0; i < nums.length - 2; i++) { if (i > 0 && nums[i] === nums[i - 1]) continue; let left = i + 1, right = nums.length - 1; while (left < right) { const sum = nums[i] + nums[left] + nums[right]; if (sum === 0) { result.push([nums[i], nums[left], nums[right]]); while (nums[left] === nums[left + 1]) left++; while (nums[right] === nums[right - 1]) right--; left++; right--; } else if (sum < 0) left++; else right--; } } return result; }",No,No,O(n^2),3
"const groupAnagrams = (strs) => { const map = {}; for (let str of strs) { const sortedStr = str.split('').sort().join(''); map[sortedStr] ? map[sortedStr].push(str) : map[sortedStr] = [str]; } return Object.values(map); }",No,No,O(n*m log m),3
"const rotate = (nums, k) => { k %= nums.length; nums.reverse(); nums.reverse(0, k); nums.reverse(k); }",No,No,O(n),3
"const searchInsert = (nums, target) => { let left = 0, right = nums.length - 1; while (left <= right) { const mid = Math.floor((left + right) / 2); if (nums[mid] === target) return mid; else if (nums[mid] < target) left = mid + 1; else right = mid - 1; } return left; }",No,No,O(log n),3
"const removeDuplicates = (nums) => { if (!nums.length) return 0; let uniqueIndex = 0; for (let i = 1; i < nums.length; i++) { if (nums[i] !== nums[uniqueIndex]) { uniqueIndex++; nums[uniqueIndex] = nums[i]; } } return uniqueIndex + 1; }",No,No,O(n),3
"const isPalindrome = (s) => { const filtered = s.replace(/[^a-zA-Z0-9]/g, '').toLowerCase(); return filtered === filtered.split('').reverse().join(''); }",No,No,O(n),3
"const longestSubstrWithoutRepeating = (s) => { const set = new Set(); let left = 0, maxLength = 0; for (let right = 0; right < s.length; right++) { while (set.has(s[right])) { set.delete(s[left++]); } set.add(s[right]); maxLength = Math.max(maxLength, right - left + 1); } return maxLength; }",No,No,O(n),3
"const mergeIntervals = (intervals) => { if (!intervals.length) return []; intervals.sort((a, b) => a[0] - b[0]); const merged = [intervals[0]]; for (let i = 1; i < intervals.length; i++) { const current = intervals[i], lastMerged = merged[merged.length - 1]; if (current[0] <= lastMerged[1]) lastMerged[1] = Math.max(lastMerged[1], current[1]); else merged.push(current); } return merged; }",No,No,O(n log n),3
"const findPeakElement = (nums) => { let left = 0, right = nums.length - 1; while (left < right) { const mid = Math.floor((left + right) / 2); if (nums[mid] < nums[mid + 1]) left = mid + 1; else right = mid; } return left; }",No,No,O(log n),3
"const canJump = (nums) => { let maxReach = 0; for (let i = 0; i < nums.length; i++) { if (i > maxReach) return false; maxReach = Math.max(maxReach, i + nums[i]); } return true; }",No,No,O(n),3
"const trap = (height) => { let left = 0, right = height.length - 1, leftMax = 0, rightMax = 0, waterTrapped = 0; while (left < right) { if (height[left] < height[right]) { leftMax = Math.max(leftMax, height[left]); waterTrapped += leftMax - height[left++]; } else { rightMax = Math.max(rightMax, height[right]); waterTrapped += rightMax - height[right--]; } } return waterTrapped; }",No,No,O(n),3
"const maxSubArray = (nums) => { let maxSoFar = nums[0], maxEndingHere = nums[0]; for (let i = 1; i < nums.length; i++) { maxEndingHere = Math.max(nums[i], maxEndingHere + nums[i]); maxSoFar = Math.max(maxSoFar, maxEndingHere); } return maxSoFar; }",No,No,O(n),3
"const kClosest = (points, k) => { return points.sort((a, b) => (a[0] ** 2 + a[1] ** 2) - (b[0] ** 2 + b[1] ** 2)).slice(0, k); }",No,No,O(n log n),3
